ticker,cik,urls
TSLA,0001318605,https://www.sec.gov/Archives/edgar/data/1318605/000156459021004599/0001564590-21-004599-index.htm
TSLA,0001318605,https://www.sec.gov/Archives/edgar/data/1318605/000156459020018984/0001564590-20-018984-index.htm
TSLA,0001318605,https://www.sec.gov/Archives/edgar/data/1318605/000156459020004475/0001564590-20-004475-index.htm
TSLA,0001318605,https://www.sec.gov/Archives/edgar/data/1318605/000156459019003165/0001564590-19-003165-index.htm
UNH,0000731766,https://www.sec.gov/Archives/edgar/data/731766/000073176623000008/0000731766-23-000008-index.htm
UNH,0000731766,https://www.sec.gov/Archives/edgar/data/731766/000073176622000008/0000731766-22-000008-index.htm
UNH,0000731766,https://www.sec.gov/Archives/edgar/data/731766/000073176621000013/0000731766-21-000013-index.htm
UNH,0000731766,https://www.sec.gov/Archives/edgar/data/731766/000073176620000006/0000731766-20-000006-index.htm
UNH,0000731766,https://www.sec.gov/Archives/edgar/data/731766/000073176619000005/0000731766-19-000005-index.htm
V,0001403161,https://www.sec.gov/Archives/edgar/data/1403161/000140316123000099/0001403161-23-000099-index.htm
V,0001403161,https://www.sec.gov/Archives/edgar/data/1403161/000140316122000081/0001403161-22-000081-index.htm
V,0001403161,https://www.sec.gov/Archives/edgar/data/1403161/000140316121000060/0001403161-21-000060-index.htm
V,0001403161,https://www.sec.gov/Archives/edgar/data/1403161/000140316120000070/0001403161-20-000070-index.htm
V,0001403161,https://www.sec.gov/Archives/edgar/data/1403161/000140316119000050/0001403161-19-000050-index.htm
VEEV,0001393052,https://www.sec.gov/Archives/edgar/data/1393052/000139305223000025/0001393052-23-000025-index.htm
VEEV,0001393052,https://www.sec.gov/Archives/edgar/data/1393052/000139305222000017/0001393052-22-000017-index.htm
VEEV,0001393052,https://www.sec.gov/Archives/edgar/data/1393052/000139305221000015/0001393052-21-000015-index.htm
VEEV,0001393052,https://www.sec.gov/Archives/edgar/data/1393052/000162828020004385/0001628280-20-004385-index.htm
VEEV,0001393052,https://www.sec.gov/Archives/edgar/data/1393052/000156459019009853/0001564590-19-009853-index.htm
WBA,0001618921,https://www.sec.gov/Archives/edgar/data/1618921/000161892123000106/0001618921-23-000106-index.htm
WBA,0001618921,https://www.sec.gov/Archives/edgar/data/1618921/000161892123000062/0001618921-23-000062-index.htm
WBA,0001618921,https://www.sec.gov/Archives/edgar/data/1618921/000161892122000100/0001618921-22-000100-index.htm
WBA,0001618921,https://www.sec.gov/Archives/edgar/data/1618921/000161892122000064/0001618921-22-000064-index.htm
WBA,0001618921,https://www.sec.gov/Archives/edgar/data/1618921/000161892121000129/0001618921-21-000129-index.htm
WBA,0001618921,https://www.sec.gov/Archives/edgar/data/1618921/000161892121000085/0001618921-21-000085-index.htm
WBA,0001618921,https://www.sec.gov/Archives/edgar/data/1618921/000161892120000082/0001618921-20-000082-index.htm
WBA,0001618921,https://www.sec.gov/Archives/edgar/data/1618921/000161892119000069/0001618921-19-000069-index.htm
