ticker,cik,url,urls
MMM,0000066740,https:/www.sec.gov/Archives/edgar/data/66740/0000066740-24-000016.txt,https:/www.sec.gov/Archives/edgar/data/66740/0000066740-24-000016.txt
MMM,0000066740,https:/www.sec.gov/Archives/edgar/data/66740/0000066740-23-000014.txt,https:/www.sec.gov/Archives/edgar/data/66740/0000066740-23-000014.txt
MMM,0000066740,https:/www.sec.gov/Archives/edgar/data/66740/0000066740-22-000010.txt,https:/www.sec.gov/Archives/edgar/data/66740/0000066740-22-000010.txt
MMM,0000066740,https:/www.sec.gov/Archives/edgar/data/66740/0001558370-21-000737.txt,https:/www.sec.gov/Archives/edgar/data/66740/0001558370-21-000737.txt
MMM,0000066740,https:/www.sec.gov/Archives/edgar/data/66740/0001558370-20-000581.txt,https:/www.sec.gov/Archives/edgar/data/66740/0001558370-20-000581.txt
MMM,0000066740,https:/www.sec.gov/Archives/edgar/data/66740/0001558370-19-000470.txt,https:/www.sec.gov/Archives/edgar/data/66740/0001558370-19-000470.txt
MRK,0000310158,https:/www.sec.gov/Archives/edgar/data/310158/0001628280-24-006850.txt,https:/www.sec.gov/Archives/edgar/data/310158/0001628280-24-006850.txt
MRK,0000310158,https:/www.sec.gov/Archives/edgar/data/310158/0001628280-23-005061.txt,https:/www.sec.gov/Archives/edgar/data/310158/0001628280-23-005061.txt
MRK,0000310158,https:/www.sec.gov/Archives/edgar/data/310158/0000310158-22-000003.txt,https:/www.sec.gov/Archives/edgar/data/310158/0000310158-22-000003.txt
MRK,0000310158,https:/www.sec.gov/Archives/edgar/data/310158/0000310158-21-000004.txt,https:/www.sec.gov/Archives/edgar/data/310158/0000310158-21-000004.txt
MRK,0000310158,https:/www.sec.gov/Archives/edgar/data/310158/0000310158-20-000005.txt,https:/www.sec.gov/Archives/edgar/data/310158/0000310158-20-000005.txt
MRK,0000310158,https:/www.sec.gov/Archives/edgar/data/310158/0000310158-19-000014.txt,https:/www.sec.gov/Archives/edgar/data/310158/0000310158-19-000014.txt
MSFT,0000789019,https:/www.sec.gov/Archives/edgar/data/789019/0000950170-23-035122.txt,https:/www.sec.gov/Archives/edgar/data/789019/0000950170-23-035122.txt
MSFT,0000789019,https:/www.sec.gov/Archives/edgar/data/789019/0001564590-22-026876.txt,https:/www.sec.gov/Archives/edgar/data/789019/0001564590-22-026876.txt
MSFT,0000789019,https:/www.sec.gov/Archives/edgar/data/789019/0001564590-21-039151.txt,https:/www.sec.gov/Archives/edgar/data/789019/0001564590-21-039151.txt
MSFT,0000789019,https:/www.sec.gov/Archives/edgar/data/789019/0001564590-20-034944.txt,https:/www.sec.gov/Archives/edgar/data/789019/0001564590-20-034944.txt
MSFT,0000789019,https:/www.sec.gov/Archives/edgar/data/789019/0001564590-19-027952.txt,https:/www.sec.gov/Archives/edgar/data/789019/0001564590-19-027952.txt
