date,ticker,company_name,prc,industry
2021-06-08,AAPL,APPLE INC,126.74,Technology
2020-05-05,AAPL,APPLE INC,297.56,Technology
2023-09-25,AAPL,APPLE INC,176.08,Technology
2021-05-07,AAPL,APPLE INC,130.21001,Technology
2020-09-01,AAPL,APPLE INC,134.17999,Technology
2023-07-03,AAPL,APPLE INC,192.46001,Technology
2021-09-28,AAPL,APPLE INC,141.91,Technology
2022-06-17,AAPL,APPLE INC,131.56,Technology
2021-07-22,AAPL,APPLE INC,146.8,Technology
2021-03-25,AAPL,APPLE INC,120.59,Technology
2019-10-18,AAPL,APPLE INC,236.41,Technology
2022-08-24,AAPL,APPLE INC,167.53,Technology
2021-07-28,AAPL,APPLE INC,144.98,Technology
2020-02-10,AAPL,APPLE INC,321.54999,Technology
2020-04-29,AAPL,APPLE INC,287.73001,Technology
2022-06-07,AAPL,APPLE INC,148.71001,Technology
2022-02-16,AAPL,APPLE INC,172.55,Technology
2020-08-18,AAPL,APPLE INC,462.25,Technology
2022-06-24,AAPL,APPLE INC,141.66,Technology
2019-09-12,AAPL,APPLE INC,223.08501,Technology
2022-08-09,AAPL,APPLE INC,164.92,Technology
2020-11-16,AAPL,APPLE INC,120.3,Technology
2020-11-19,AAPL,APPLE INC,118.64,Technology
2020-11-06,AAPL,APPLE INC,118.69,Technology
2020-06-26,AAPL,APPLE INC,353.63,Technology
2019-05-31,AAPL,APPLE INC,175.07001,Technology
2019-05-14,AAPL,APPLE INC,188.66,Technology
2020-02-27,AAPL,APPLE INC,273.51999,Technology
2023-04-28,AAPL,APPLE INC,169.67999,Technology
2021-06-29,AAPL,APPLE INC,136.33,Technology
2021-01-06,AAPL,APPLE INC,126.6,Technology
2019-10-03,AAPL,APPLE INC,220.82001,Technology
2020-02-24,AAPL,APPLE INC,298.17999,Technology
2020-02-04,AAPL,APPLE INC,318.85001,Technology
2020-11-30,AAPL,APPLE INC,119.05,Technology
2020-05-08,AAPL,APPLE INC,310.13,Technology
2020-05-21,AAPL,APPLE INC,316.85001,Technology
2020-02-03,AAPL,APPLE INC,308.66,Technology
2020-12-09,AAPL,APPLE INC,121.78,Technology
2023-11-24,AAPL,APPLE INC,189.97,Technology
2020-01-31,AAPL,APPLE INC,309.51001,Technology
2021-07-01,AAPL,APPLE INC,137.27,Technology
2019-10-04,AAPL,APPLE INC,227.00999,Technology
2019-05-07,AAPL,APPLE INC,202.86,Technology
2021-08-25,AAPL,APPLE INC,148.36,Technology
2020-06-16,AAPL,APPLE INC,352.07999,Technology
2023-04-26,AAPL,APPLE INC,163.75999,Technology
2019-04-25,AAPL,APPLE INC,205.28,Technology
2023-07-13,AAPL,APPLE INC,190.53999,Technology
2020-01-30,AAPL,APPLE INC,323.87,Technology
2020-01-14,AAPL,APPLE INC,312.67999,Technology
2021-07-12,AAPL,APPLE INC,144.5,Technology
2021-02-23,AAPL,APPLE INC,125.86,Technology
2020-01-10,AAPL,APPLE INC,310.32999,Technology
2021-07-16,AAPL,APPLE INC,146.39,Technology
2019-07-01,AAPL,APPLE INC,201.55,Technology
2023-05-03,AAPL,APPLE INC,167.45,Technology
2019-02-15,AAPL,APPLE INC,170.42,Technology
2020-01-09,AAPL,APPLE INC,309.63,Technology
2022-08-01,AAPL,APPLE INC,161.50999,Technology
2019-04-18,AAPL,APPLE INC,203.86,Technology
2019-12-20,AAPL,APPLE INC,279.44,Technology
2022-08-17,AAPL,APPLE INC,174.55,Technology
2021-01-21,AAPL,APPLE INC,136.87,Technology
2019-12-17,AAPL,APPLE INC,280.41,Technology
2021-07-09,AAPL,APPLE INC,145.11,Technology
2022-05-10,AAPL,APPLE INC,154.50999,Technology
2020-06-12,AAPL,APPLE INC,338.79999,Technology
2020-08-04,AAPL,APPLE INC,438.66,Technology
2019-03-28,AAPL,APPLE INC,188.72,Technology
2019-03-25,AAPL,APPLE INC,188.74001,Technology
2019-03-20,AAPL,APPLE INC,188.16,Technology
2020-01-24,AAPL,APPLE INC,318.31,Technology
2020-06-10,AAPL,APPLE INC,352.84,Technology
2021-07-23,AAPL,APPLE INC,148.56,Technology
2021-07-07,AAPL,APPLE INC,144.57001,Technology
2019-12-11,AAPL,APPLE INC,270.76999,Technology
2023-04-21,AAPL,APPLE INC,165.02,Technology
2019-12-05,AAPL,APPLE INC,265.57999,Technology
2019-02-01,AAPL,APPLE INC,166.52,Technology
2023-09-21,AAPL,APPLE INC,173.92999,Technology
2023-10-24,AAPL,APPLE INC,173.44,Technology
2023-06-16,AAPL,APPLE INC,184.92,Technology
2020-08-06,AAPL,APPLE INC,455.60999,Technology
2021-07-29,AAPL,APPLE INC,145.64,Technology
2021-12-14,AAPL,APPLE INC,174.33,Technology
2019-12-26,AAPL,APPLE INC,289.91,Technology
2021-02-08,AAPL,APPLE INC,136.91,Technology
2021-02-01,AAPL,APPLE INC,134.14,Technology
2021-08-04,AAPL,APPLE INC,146.95,Technology
2020-06-05,AAPL,APPLE INC,331.5,Technology
2019-05-23,AAPL,APPLE INC,179.66,Technology
2022-07-20,AAPL,APPLE INC,153.03999,Technology
2020-11-11,AAPL,APPLE INC,119.49,Technology
2020-12-28,AAPL,APPLE INC,136.69,Technology
2020-01-08,AAPL,APPLE INC,303.19,Technology
2019-10-28,AAPL,APPLE INC,249.05,Technology
2022-09-12,AAPL,APPLE INC,163.42999,Technology
2019-05-16,AAPL,APPLE INC,190.08,Technology
2019-07-05,AAPL,APPLE INC,204.23,Technology
2021-02-17,AAPL,APPLE INC,130.84,Technology
2023-04-11,AAPL,APPLE INC,160.8,Technology
2023-01-06,AAPL,APPLE INC,129.62,Technology
2020-10-15,AAPL,APPLE INC,120.71,Technology
2019-02-21,AAPL,APPLE INC,171.06,Technology
2021-08-05,AAPL,APPLE INC,147.06,Technology
2021-08-17,AAPL,APPLE INC,150.19,Technology
2019-02-08,AAPL,APPLE INC,170.41,Technology
2019-01-17,AAPL,APPLE INC,155.86,Technology
2021-08-24,AAPL,APPLE INC,149.62,Technology
2021-08-06,AAPL,APPLE INC,146.14,Technology
2020-05-28,AAPL,APPLE INC,318.25,Technology
2023-10-27,AAPL,APPLE INC,168.22,Technology
2019-01-16,AAPL,APPLE INC,154.94,Technology
2020-03-17,AAPL,APPLE INC,252.86,Technology
2022-01-03,AAPL,APPLE INC,182.00999,Technology
2022-11-22,AAPL,APPLE INC,150.17999,Technology
2020-04-24,AAPL,APPLE INC,282.97,Technology
2019-01-29,AAPL,APPLE INC,154.67999,Technology
2022-11-21,AAPL,APPLE INC,148.00999,Technology
2021-11-04,AAPL,APPLE INC,150.96001,Technology
2023-06-08,AAPL,APPLE INC,180.57001,Technology
2021-08-27,AAPL,APPLE INC,148.60001,Technology
2023-11-08,AAPL,APPLE INC,182.89,Technology
2021-02-24,AAPL,APPLE INC,125.35,Technology
2020-05-15,AAPL,APPLE INC,307.70999,Technology
2021-08-31,AAPL,APPLE INC,151.83,Technology
2023-11-01,AAPL,APPLE INC,173.97,Technology
2019-04-12,AAPL,APPLE INC,198.87,Technology
2022-06-28,AAPL,APPLE INC,137.44,Technology
2020-01-13,AAPL,APPLE INC,316.95999,Technology
2021-09-10,AAPL,APPLE INC,148.97,Technology
2023-05-25,AAPL,APPLE INC,172.99001,Technology
2023-03-23,AAPL,APPLE INC,158.92999,Technology
2022-09-08,AAPL,APPLE INC,154.46001,Technology
2023-03-27,AAPL,APPLE INC,158.28,Technology
2019-11-26,AAPL,APPLE INC,264.29001,Technology
2021-09-22,AAPL,APPLE INC,145.85001,Technology
2021-09-27,AAPL,APPLE INC,145.37,Technology
2021-10-01,AAPL,APPLE INC,142.64999,Technology
2022-06-15,AAPL,APPLE INC,135.42999,Technology
2019-06-21,AAPL,APPLE INC,198.78,Technology
2021-10-05,AAPL,APPLE INC,141.11,Technology
2020-06-18,AAPL,APPLE INC,351.73001,Technology
2021-10-07,AAPL,APPLE INC,143.28999,Technology
2023-04-10,AAPL,APPLE INC,162.03,Technology
2020-07-23,AAPL,APPLE INC,371.38,Technology
2021-10-18,AAPL,APPLE INC,146.55,Technology
2019-01-09,AAPL,APPLE INC,153.31,Technology
2019-09-11,AAPL,APPLE INC,223.59,Technology
2019-11-25,AAPL,APPLE INC,266.37,Technology
2021-11-02,AAPL,APPLE INC,150.02,Technology
2022-06-29,AAPL,APPLE INC,139.23,Technology
2022-03-01,AAPL,APPLE INC,163.2,Technology
2021-05-11,AAPL,APPLE INC,125.91,Technology
2019-11-14,AAPL,APPLE INC,262.64001,Technology
2023-03-08,AAPL,APPLE INC,152.87,Technology
2019-01-10,AAPL,APPLE INC,153.8,Technology
2021-11-26,AAPL,APPLE INC,156.81,Technology
2023-05-22,AAPL,APPLE INC,174.2,Technology
2021-01-15,AAPL,APPLE INC,127.14,Technology
2023-01-18,AAPL,APPLE INC,135.21001,Technology
2019-08-20,AAPL,APPLE INC,210.36,Technology
2023-05-11,AAPL,APPLE INC,173.75,Technology
2020-11-18,AAPL,APPLE INC,118.03,Technology
2020-05-11,AAPL,APPLE INC,315.01001,Technology
2022-01-25,AAPL,APPLE INC,159.78,Technology
2023-07-12,AAPL,APPLE INC,189.77,Technology
2023-05-26,AAPL,APPLE INC,175.42999,Technology
2021-11-15,AAPL,APPLE INC,150,Technology
2021-05-13,AAPL,APPLE INC,124.97,Technology
2020-06-15,AAPL,APPLE INC,342.98999,Technology
2021-11-18,AAPL,APPLE INC,157.87,Technology
