Ticker,Year,artificial intelligence,AI,ESG
ADBE,2021,0,0,0
ADBE,2021,0,0,0
ADBE,2021,0,0,0
ADBE,2021,0,0,0
ADBE,2021,0,0,0
ADBE,2021,0,0,0
ADBE,2021,0,0,0
ADBE,2021,0,0,0
ADBE,2021,0,0,0
ADBE,2021,0,0,0
ADBE,2021,0,0,0
ADBE,2021,0,0,0
ADBE,2021,0,0,0
ADBE,2021,0,0,0
ADBE,2021,0,0,0
ADBE,2021,0,0,0
ADBE,2021,0,0,0
ADBE,2021,0,0,0
ADBE,2021,0,0,0
ADBE,2021,0,0,0
ADBE,2021,0,0,0
ADBE,2021,0,0,0
ADBE,2021,0,0,0
ADBE,2021,0,0,0
ADBE,2021,0,0,0
ADBE,2021,0,0,0
ADBE,2021,0,0,0
ADBE,2021,0,0,0
ADBE,2021,0,0,0
ADBE,2021,0,0,0
ADBE,2022,0,0,0
ADBE,2022,0,0,0
ADBE,2022,0,0,0
ADBE,2022,0,0,0
ADBE,2022,0,0,0
ADBE,2022,0,0,0
ADBE,2022,0,0,0
ADBE,2022,0,0,0
ADBE,2022,0,0,0
ADBE,2022,0,0,0
ADBE,2022,0,0,0
ADBE,2022,0,0,0
ADBE,2022,0,0,0
ADBE,2022,0,0,0
ADBE,2022,0,0,0
ADBE,2022,0,0,0
ADBE,2022,0,0,0
ADBE,2022,0,0,0
ADBE,2022,0,0,0
ADBE,2022,0,0,0
ADBE,2022,0,0,0
ADBE,2022,0,0,0
ADBE,2022,0,0,0
ADBE,2022,0,0,0
ADBE,2022,0,0,0
ADBE,2022,0,0,0
ADBE,2022,0,0,0
ADBE,2022,0,0,0
ADBE,2022,0,0,0
ADBE,2022,0,0,0
ADBE,2022,0,0,0
ADBE,2022,0,0,0
ADBE,2022,0,0,0
ADBE,2023,0,0,0
ADBE,2023,0,0,0
ADBE,2023,0,0,0
ADBE,2023,0,0,0
ADBE,2023,0,0,0
ADBE,2023,0,0,0
ADBE,2023,0,0,0
ADBE,2023,0,0,0
ADBE,2023,0,0,0
ADBE,2023,0,0,0
ADBE,2023,0,0,0
ADBE,2023,0,0,0
ADBE,2023,0,0,0
ADBE,2023,0,0,0
ADBE,2023,0,0,0
ADBE,2023,0,0,0
ADBE,2023,0,0,0
ADBE,2023,0,0,0
ADBE,2023,0,0,0
ADBE,2023,0,0,0
ADBE,2023,0,0,0
ADBE,2023,0,0,0
ADBE,2023,0,0,0
ADBE,2023,0,0,0
ADBE,2023,0,0,0
ADBE,2023,0,0,0
ADBE,2023,0,0,0
ADBE,2023,0,0,0
ADBE,2023,0,0,0
ADBE,2023,0,0,0
ADBE,2023,0,0,0
ADBE,2023,0,0,0
ADBE,2023,0,0,0
ADP,2019,0,0,0
ADP,2019,0,0,0
ADP,2019,0,0,0
ADP,2019,0,0,0
ADP,2019,0,0,0
ADP,2019,0,0,0
ADP,2019,0,0,0
ADP,2019,0,0,0
ADP,2019,0,0,0
ADP,2019,0,0,0
ADP,2019,0,0,0
ADP,2019,0,0,0
ADP,2019,0,0,0
ADP,2019,0,0,0
ADP,2019,0,0,0
ADP,2019,0,0,0
ADP,2019,0,0,0
ADP,2019,0,0,0
ADP,2019,0,0,0
ADP,2019,0,0,0
ADP,2019,0,0,0
ADP,2019,0,0,0
ADP,2019,0,0,0
ADP,2019,0,0,0
ADP,2019,0,0,0
ADP,2019,0,0,0
ADP,2019,0,0,0
ADP,2019,0,0,0
ADP,2019,0,0,0
ADP,2019,0,0,0
ADP,2020,0,0,0
ADP,2020,0,0,0
ADP,2020,0,0,0
ADP,2020,0,0,0
ADP,2020,0,0,0
ADP,2020,0,0,0
ADP,2020,0,0,0
ADP,2020,0,0,0
ADP,2020,0,0,0
ADP,2020,0,0,0
ADP,2020,0,0,0
ADP,2020,0,0,0
ADP,2020,0,0,0
ADP,2020,0,0,0
ADP,2020,0,0,0
ADP,2020,0,0,0
ADP,2020,0,0,0
ADP,2020,0,0,0
ADP,2020,0,0,0
ADP,2020,0,0,0
ADP,2020,0,0,0
ADP,2020,0,0,0
ADP,2020,0,0,0
ADP,2020,0,0,0
ADP,2020,0,0,0
ADP,2020,0,0,0
ADP,2020,0,0,0
ADP,2020,0,0,0
ADP,2020,0,0,0
ADP,2020,0,0,0
ADP,2021,0,0,0
ADP,2021,0,0,0
ADP,2021,0,0,0
ADP,2021,0,0,0
ADP,2021,0,0,0
ADP,2021,0,0,0
ADP,2021,0,0,0
ADP,2021,0,0,0
ADP,2021,0,0,0
ADP,2021,0,0,0
ADP,2021,0,0,0
ADP,2021,0,0,0
ADP,2021,0,0,0
ADP,2021,0,0,0
ADP,2021,0,0,0
ADP,2021,0,0,0
ADP,2021,0,0,0
ADP,2021,0,0,0
ADP,2021,0,0,0
ADP,2021,0,0,0
ADP,2021,0,0,0
ADP,2021,0,0,0
ADP,2021,0,0,0
ADP,2021,0,0,0
ADP,2021,0,0,0
ADP,2021,0,0,0
ADP,2021,0,0,0
ADP,2021,0,0,0
ADP,2021,0,0,0
ADP,2021,0,0,0
ADP,2022,0,0,0
ADP,2022,0,0,0
ADP,2022,0,0,0
ADP,2022,0,0,0
ADP,2022,0,0,0
ADP,2022,0,0,0
ADP,2022,0,0,0
ADP,2022,0,0,0
ADP,2022,0,0,0
ADP,2022,0,0,0
ADP,2022,0,0,0
ADP,2022,0,0,0
ADP,2022,0,0,0
ADP,2022,0,0,0
ADP,2022,0,0,0
ADP,2022,0,0,0
ADP,2022,0,0,0
ADP,2022,0,0,0
ADP,2022,0,0,0
ADP,2022,0,0,0
ADP,2022,0,0,0
ADP,2022,0,0,0
ADP,2022,0,0,0
ADP,2022,0,0,0
ADP,2022,0,0,0
ADP,2022,0,0,0
ADP,2022,0,0,0
ADP,2022,0,0,0
ADP,2022,0,0,0
ADP,2022,0,0,0
ADP,2023,0,0,0
ADP,2023,0,0,0
ADP,2023,0,0,0
ADP,2023,0,0,0
ADP,2023,0,0,0
ADP,2023,0,0,0
ADP,2023,0,0,0
ADP,2023,0,0,0
ADP,2023,0,0,0
ADP,2023,0,0,0
ADP,2023,0,0,0
ADP,2023,0,0,0
ADP,2023,0,0,0
ADP,2023,0,0,0
ADP,2023,0,0,0
ADP,2023,0,0,0
ADP,2023,0,0,0
ADP,2023,0,0,0
ADP,2023,0,0,0
ADP,2023,0,0,0
ADP,2023,0,0,0
ADP,2023,0,0,0
ADP,2023,0,0,0
ADP,2023,0,0,0
ADP,2023,0,0,0
ADP,2023,0,0,0
ADP,2023,0,0,0
ADP,2023,0,0,0
ADP,2023,0,0,0
ADP,2023,0,0,0
ADSK,2019,0,0,0
ADSK,2019,0,0,0
ADSK,2019,0,0,0
ADSK,2019,0,0,0
ADSK,2019,0,0,0
ADSK,2019,0,0,0
ADSK,2019,0,0,0
ADSK,2019,0,0,0
ADSK,2019,0,0,0
ADSK,2019,0,0,0
ADSK,2019,0,0,0
ADSK,2019,0,0,0
ADSK,2019,0,0,0
ADSK,2019,0,0,0
ADSK,2019,0,0,0
ADSK,2019,0,0,0
ADSK,2019,0,0,0
ADSK,2019,0,0,0
ADSK,2019,0,0,0
ADSK,2019,0,0,0
ADSK,2019,0,0,0
ADSK,2019,0,0,0
